,Unnamed: 0,Unnamed: 0.1,amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol
0,,,298631.54,-0.33999999999999986,7.26,7.7,7.2,7.68,-4.4737,7.6,20200410,300352.SZ,404263.08
1,,,296757.339,0.08999999999999986,7.6,7.75,7.56,7.61,1.1984,7.51,20200409,300352.SZ,388240.18
2,,,268490.394,0.04999999999999982,7.51,7.56,7.36,7.4,0.6702,7.46,20200408,300352.SZ,358528.92
3,,,322421.6,0.2599999999999998,7.46,7.51,7.3,7.39,3.6111,7.2,20200407,300352.SZ,433340.12
0,0.0,,223381.68399999998,-0.20000000000000015,7.2,7.4,7.17,7.34,-2.7027,7.4,20200403,300352.SZ,307875.21
1,1.0,,313886.462,0.2400000000000002,7.4,7.42,7.05,7.1,3.352,7.16,20200402,300352.SZ,433007.26
2,2.0,,325249.554,-0.10999999999999943,7.16,7.43,7.1,7.19,-1.5131,7.27,20200401,300352.SZ,447971.47
3,3.0,,390692.719,-0.11000000000000032,7.27,7.56,7.12,7.51,-1.4905,7.38,20200331,300352.SZ,533581.41
4,4.0,,647687.611,-0.8199999999999994,7.38,8.03,7.38,8.03,-10.0,8.2,20200330,300352.SZ,861494.45
5,0.0,0.0,553210.978,-0.39000000000000057,8.2,8.75,8.15,8.71,-4.5402,8.59,20200327,300352.SZ,660476.64
6,1.0,1.0,598604.774,0.07000000000000027,8.59,8.78,8.45,8.51,0.8216,8.52,20200326,300352.SZ,692891.39
7,2.0,2.0,491893.672,0.2999999999999989,8.52,8.57,8.32,8.46,3.6496,8.22,20200325,300352.SZ,580370.92
8,3.0,3.0,446217.828,0.20000000000000107,8.22,8.29,7.83,8.22,2.4938,8.02,20200324,300352.SZ,550949.29
9,4.0,4.0,576604.619,-0.6699999999999999,8.02,8.55,7.98,8.36,-7.71,8.69,20200323,300352.SZ,697779.69
10,5.0,5.0,778475.214,-0.25,8.69,9.1,8.47,9.04,-2.7964,8.94,20200320,300352.SZ,889812.64
11,6.0,6.0,986005.348,0.3699999999999992,8.94,8.98,8.4,8.55,4.3174,8.57,20200319,300352.SZ,1129700.9
12,7.0,7.0,983362.664,0.17999999999999972,8.57,8.92,8.38,8.48,2.1454,8.39,20200318,300352.SZ,1142415.48
13,8.0,8.0,670707.322,0.3300000000000001,8.39,8.39,7.7,8.22,4.0943,8.06,20200317,300352.SZ,819645.98
14,9.0,9.0,712686.9190000001,-0.2699999999999996,8.06,8.74,7.98,8.47,-3.2413,8.33,20200316,300352.SZ,846318.03
15,10.0,10.0,509560.14700000006,-0.09999999999999963,8.33,8.52,7.9,8.0,-1.1862,8.43,20200313,300352.SZ,616118.03
16,11.0,11.0,453977.49,0.009999999999999787,8.43,8.64,8.17,8.3,0.1188,8.42,20200312,300352.SZ,539527.5
17,12.0,12.0,654934.659,-0.23000000000000045,8.42,8.99,8.39,8.73,-2.659,8.65,20200311,300352.SZ,751243.78
18,13.0,13.0,710140.291,0.3000000000000007,8.65,8.66,8.13,8.13,3.5928,8.35,20200310,300352.SZ,841335.72
19,14.0,14.0,866190.8470000002,-0.8399999999999999,8.35,8.99,8.28,8.99,-9.1404,9.19,20200309,300352.SZ,1006104.68
20,15.0,15.0,518075.599,-0.16000000000000014,9.19,9.46,9.13,9.23,-1.7112,9.35,20200306,300352.SZ,558200.4
21,16.0,16.0,777499.0190000002,-0.2400000000000002,9.35,9.73,9.25,9.71,-2.5026,9.59,20200305,300352.SZ,823478.98
22,17.0,17.0,870198.052,0.08999999999999986,9.59,9.66,9.2,9.5,0.9474,9.5,20200304,300352.SZ,923961.53
23,18.0,18.0,1168748.3490000002,0.10999999999999943,9.5,9.91,9.22,9.6,1.1715,9.39,20200303,300352.SZ,1212467.42
24,19.0,19.0,843159.578,0.3000000000000007,9.39,9.54,9.11,9.34,3.3003,9.09,20200302,300352.SZ,900920.54
25,20.0,20.0,1040641.733,-0.7200000000000006,9.09,9.63,9.07,9.2,-7.3394,9.81,20200228,300352.SZ,1112317.76
26,21.0,21.0,1163000.483,0.15000000000000036,9.81,10.1,9.2,9.66,1.5528,9.66,20200227,300352.SZ,1197437.1
27,22.0,22.0,1766344.3390000004,-1.0399999999999991,9.66,10.5,9.63,10.29,-9.7196,10.7,20200226,300352.SZ,1758838.57
28,23.0,23.0,2632674.119,0.4699999999999989,10.7,10.85,9.49,9.8,4.5943,10.23,20200225,300352.SZ,2597291.0
