,Unnamed: 0,Unnamed: 0.1,amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol
0,,,10551.291,-0.040000000000000036,3.57,3.66,3.55,3.59,-1.108,3.61,20200410,600091.SH,29361.16
1,,,8921.504,-0.050000000000000266,3.61,3.72,3.6,3.7,-1.3661,3.66,20200409,600091.SH,24425.0
2,,,12818.575,0.16999999999999993,3.66,3.66,3.47,3.47,4.8711,3.49,20200408,600091.SH,35363.73
3,,,4256.31,0.06000000000000005,3.49,3.51,3.45,3.46,1.7493,3.43,20200407,600091.SH,12216.73
0,0.0,,4639.933,0.0,3.43,3.47,3.41,3.44,0.0,3.43,20200403,600091.SH,13500.01
1,1.0,,3229.3140000000003,0.05000000000000026,3.43,3.43,3.36,3.38,1.4793,3.38,20200402,600091.SH,9498.61
2,2.0,,3942.327,-0.010000000000000231,3.38,3.44,3.34,3.43,-0.295,3.39,20200401,600091.SH,11549.01
3,3.0,,3381.915,0.0,3.39,3.44,3.39,3.43,0.0,3.39,20200331,600091.SH,9918.4
4,4.0,,3745.607,-0.08000000000000007,3.39,3.45,3.37,3.42,-2.3055,3.47,20200330,600091.SH,11037.61
5,0.0,0.0,3253.533,0.010000000000000231,3.47,3.52,3.45,3.5,0.289,3.46,20200327,600091.SH,9333.41
6,1.0,1.0,6639.688,0.009999999999999787,3.46,3.52,3.41,3.43,0.2899,3.45,20200326,600091.SH,19040.48
7,2.0,2.0,3445.377,0.05000000000000026,3.45,3.46,3.42,3.44,1.4706,3.4,20200325,600091.SH,10009.24
8,3.0,3.0,5471.826,0.08000000000000007,3.4,3.41,3.33,3.36,2.4096,3.32,20200324,600091.SH,16242.62
9,4.0,4.0,4189.452,-0.10000000000000007,3.32,3.38,3.3,3.37,-2.924,3.42,20200323,600091.SH,12560.0
10,5.0,5.0,5573.333000000001,0.040000000000000036,3.42,3.42,3.36,3.4,1.1834,3.38,20200320,600091.SH,16450.2
11,6.0,6.0,7011.685,0.0,3.38,3.41,3.32,3.38,0.0,3.38,20200319,600091.SH,20814.6
12,7.0,7.0,6369.765,-0.07000000000000027,3.38,3.52,3.38,3.47,-2.029,3.45,20200318,600091.SH,18402.0
13,8.0,8.0,7798.41,0.02000000000000001,3.45,3.5,3.38,3.43,0.5831,3.43,20200317,600091.SH,22716.63
14,9.0,9.0,9507.557,-0.1599999999999997,3.43,3.62,3.43,3.58,-4.4568,3.59,20200316,600091.SH,26980.06
15,10.0,10.0,12253.378,-0.06000000000000005,3.59,3.61,3.48,3.5,-1.6438,3.65,20200313,600091.SH,34467.06
16,11.0,11.0,8627.245,0.0,3.65,3.74,3.6,3.65,0.0,3.65,20200312,600091.SH,23548.29
17,12.0,12.0,10032.658,0.0,3.65,3.76,3.64,3.68,0.0,3.65,20200311,600091.SH,27128.22
18,13.0,13.0,10427.21,0.06000000000000005,3.65,3.67,3.51,3.53,1.6713,3.59,20200310,600091.SH,29128.03
19,14.0,14.0,10128.918,-0.040000000000000036,3.59,3.73,3.55,3.56,-1.1019,3.63,20200309,600091.SH,27971.49
20,15.0,15.0,13941.589,0.029999999999999805,3.63,3.76,3.53,3.59,0.8333,3.6,20200306,600091.SH,38272.0
21,16.0,16.0,14562.684,0.10000000000000007,3.6,3.66,3.5,3.54,2.8571,3.5,20200305,600091.SH,40475.32
