,Unnamed: 0,Unnamed: 0.1,amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol
0,,,169167.112,-0.33999999999999986,5.48,5.74,5.47,5.7,-5.8419,5.82,20200410,600733.SH,302286.77
1,,,229893.119,0.2400000000000002,5.82,5.88,5.6,5.65,4.3011,5.58,20200409,600733.SH,398683.9
2,,,145895.325,-0.1200000000000001,5.58,5.79,5.54,5.63,-2.1053,5.7,20200408,600733.SH,259003.24
3,,,165499.027,0.1900000000000004,5.7,5.87,5.5,5.58,3.4483,5.51,20200407,600733.SH,293954.74
0,0.0,,121243.957,-0.1200000000000001,5.51,5.62,5.42,5.6,-2.1314,5.63,20200403,600733.SH,219305.76
1,1.0,,182081.68899999998,-0.1200000000000001,5.63,5.65,5.51,5.6,-2.0869999999999997,5.75,20200402,600733.SH,327226.51
2,2.0,,368400.23299999995,-0.2400000000000002,5.75,6.26,5.72,6.07,-4.0067,5.99,20200401,600733.SH,609534.12
3,3.0,,258156.985,0.2599999999999998,5.99,6.02,5.65,5.81,4.5375,5.73,20200331,600733.SH,439417.46
4,4.0,,215849.388,0.23000000000000045,5.73,5.84,5.37,5.45,4.1818,5.5,20200330,600733.SH,382179.59
5,0.0,0.0,147548.3,0.03000000000000025,5.5,5.71,5.48,5.53,0.5484,5.47,20200327,600733.SH,263803.19
6,1.0,1.0,135026.83800000002,-0.14000000000000054,5.47,5.55,5.37,5.52,-2.4955,5.61,20200326,600733.SH,247527.81
7,2.0,2.0,262299.586,0.3000000000000007,5.61,5.78,5.31,5.39,5.6497,5.31,20200325,600733.SH,472224.39
8,3.0,3.0,172193.533,0.4799999999999995,5.31,5.31,4.83,4.91,9.9379,4.83,20200324,600733.SH,341053.2
9,4.0,4.0,131862.00199999998,-0.3799999999999999,4.83,5.1,4.81,5.06,-7.2937,5.21,20200323,600733.SH,267518.61
10,5.0,5.0,133604.285,-0.09999999999999963,5.21,5.42,5.19,5.37,-1.8832,5.31,20200320,600733.SH,253118.74
11,6.0,6.0,142438.781,-0.11000000000000032,5.31,5.54,5.28,5.44,-2.0295,5.42,20200319,600733.SH,265962.27
12,7.0,7.0,97052.833,-0.17999999999999972,5.42,5.79,5.4,5.65,-3.2143,5.6,20200318,600733.SH,173404.77
13,8.0,8.0,70652.72,-0.010000000000000677,5.6,5.75,5.46,5.57,-0.1783,5.61,20200317,600733.SH,126536.34
14,9.0,9.0,116082.039,-0.3700000000000001,5.61,6.0,5.6,6.0,-6.1873,5.98,20200316,600733.SH,200134.25
15,10.0,10.0,120800.137,-0.05999999999999961,5.98,6.1,5.71,5.71,-0.9934,6.04,20200313,600733.SH,205921.78
16,11.0,11.0,151599.187,-0.049999999999999815,6.04,6.17,5.8,6.02,-0.821,6.09,20200312,600733.SH,254404.85
17,12.0,12.0,109423.355,-0.11000000000000032,6.09,6.29,6.07,6.22,-1.7742,6.2,20200311,600733.SH,176649.76
18,13.0,13.0,159338.66199999998,0.14000000000000054,6.2,6.2,5.84,6.0,2.3102,6.06,20200310,600733.SH,263382.57
19,14.0,14.0,203033.652,-0.4700000000000006,6.06,6.43,6.06,6.32,-7.1975,6.53,20200309,600733.SH,326488.62
20,15.0,15.0,174329.305,-0.21999999999999967,6.53,6.64,6.51,6.64,-3.2593,6.75,20200306,600733.SH,265466.78
21,16.0,16.0,244750.884,0.01999999999999957,6.75,6.85,6.62,6.81,0.2972,6.73,20200305,600733.SH,362616.24
22,17.0,17.0,214352.919,-0.11999999999999922,6.73,6.93,6.61,6.79,-1.7518,6.85,20200304,600733.SH,318312.4
23,18.0,18.0,333145.24,0.2399999999999993,6.85,6.98,6.66,6.79,3.6309,6.61,20200303,600733.SH,488321.1
24,19.0,19.0,146637.805,0.1800000000000006,6.61,6.69,6.41,6.47,2.7994,6.43,20200302,600733.SH,222767.62
25,20.0,20.0,178324.246,-0.3100000000000005,6.43,6.64,6.25,6.5,-4.5994,6.74,20200228,600733.SH,276552.26
26,21.0,21.0,191667.867,-0.08999999999999986,6.74,7.0,6.65,6.83,-1.3177,6.83,20200227,600733.SH,281241.61
27,22.0,22.0,324811.373,-0.2999999999999998,6.83,7.25,6.81,6.98,-4.2076,7.13,20200226,600733.SH,462868.76
28,23.0,23.0,481992.914,0.3200000000000003,7.13,7.49,6.36,6.61,4.699,6.81,20200225,600733.SH,695721.15
29,24.0,24.0,232077.527,-0.11000000000000032,6.81,6.91,6.71,6.78,-1.5896,6.92,20200224,600733.SH,341432.77
30,25.0,25.0,340006.031,0.16999999999999993,6.92,7.08,6.66,6.95,2.5185,6.75,20200221,600733.SH,496339.14
31,26.0,26.0,233542.149,0.1900000000000004,6.75,6.84,6.5,6.58,2.8963,6.56,20200220,600733.SH,346625.43
32,27.0,27.0,181183.828,-0.17000000000000082,6.56,6.89,6.55,6.77,-2.526,6.73,20200219,600733.SH,271065.55
33,28.0,28.0,195324.57100000003,0.10000000000000052,6.73,6.85,6.58,6.66,1.5083,6.63,20200218,600733.SH,290939.48
34,29.0,29.0,207931.142,0.17999999999999972,6.63,6.68,6.43,6.43,2.7907,6.45,20200217,600733.SH,315164.78
35,30.0,30.0,138349.733,-0.14999999999999947,6.45,6.56,6.38,6.5,-2.2727,6.6,20200214,600733.SH,213452.16
36,31.0,31.0,243786.917,0.14999999999999947,6.6,6.75,6.32,6.43,2.3256,6.45,20200213,600733.SH,372855.77
37,32.0,32.0,149758.80800000002,0.10000000000000052,6.45,6.56,6.29,6.33,1.5748,6.35,20200212,600733.SH,231882.48
38,33.0,33.0,143231.969,-0.20000000000000012,6.35,6.56,6.34,6.56,-3.0534,6.55,20200211,600733.SH,222971.76
39,34.0,34.0,236255.34,0.08000000000000007,6.55,6.68,6.36,6.5,1.2365,6.47,20200210,600733.SH,361427.2
40,35.0,35.0,250948.033,0.5899999999999999,6.47,6.47,5.78,5.82,10.034,5.88,20200207,600733.SH,411415.51
41,36.0,36.0,138658.392,0.01999999999999957,5.88,5.92,5.72,5.73,0.3413,5.86,20200206,600733.SH,238252.35
42,37.0,37.0,191270.333,0.09000000000000075,5.86,6.11,5.81,5.92,1.5598,5.77,20200205,600733.SH,320731.41
43,38.0,38.0,179240.375,-0.0600000000000005,5.77,6.05,5.37,5.37,-1.0292,5.83,20200204,600733.SH,310691.88
44,39.0,39.0,31549.045,-0.6500000000000004,5.83,5.83,5.83,5.83,-10.0309,6.48,20200203,600733.SH,54115.0
45,40.0,40.0,211782.748,-0.3099999999999996,6.48,6.83,6.34,6.68,-4.5655,6.79,20200123,600733.SH,321868.1
46,41.0,41.0,274444.253,0.16000000000000014,6.79,6.96,6.43,6.58,2.4133,6.63,20200122,600733.SH,404995.33
47,42.0,42.0,296344.36,-0.3799999999999999,6.63,6.91,6.53,6.9,-5.4208,7.01,20200121,600733.SH,442884.68
48,43.0,43.0,370898.179,-0.11000000000000032,7.01,7.19,6.84,7.05,-1.5449,7.12,20200120,600733.SH,530474.31
49,44.0,44.0,632328.731,0.2599999999999998,7.12,7.49,6.7,7.0,3.7901,6.86,20200117,600733.SH,894791.74
50,45.0,45.0,414684.283,0.6200000000000001,6.86,6.86,6.25,6.32,9.9359,6.24,20200116,600733.SH,621754.46
51,46.0,46.0,204408.514,-0.25,6.24,6.47,6.2,6.4,-3.8521,6.49,20200115,600733.SH,325386.0
52,47.0,47.0,474298.964,-0.20000000000000012,6.49,6.92,6.46,6.82,-2.9895,6.69,20200114,600733.SH,710111.21
53,48.0,48.0,432057.139,0.6100000000000003,6.69,6.69,6.45,6.55,10.0329,6.08,20200113,600733.SH,650956.49
54,49.0,49.0,103892.695,-0.1299999999999999,6.08,6.27,6.07,6.27,-2.0934,6.21,20200110,600733.SH,169615.39
55,50.0,50.0,138558.762,0.1200000000000001,6.21,6.35,6.16,6.18,1.9704,6.09,20200109,600733.SH,222142.15
56,51.0,51.0,119933.42,-0.040000000000000036,6.09,6.28,6.06,6.12,-0.6525,6.13,20200108,600733.SH,194918.7
